
[MeshData]

UVêî : 3504

UVî‘çÜ0 : { 1.50798, 0.21082 }
UVî‘çÜ1 : { 1.44163, 0.27886 }
UVî‘çÜ2 : { 1.44163, 0.21499 }
UVî‘çÜ3 : { 1.44163, 0.27886 }
UVî‘çÜ4 : { 1.50798, 0.21082 }
UVî‘çÜ5 : { 1.50798, 0.27517 }
UVî‘çÜ6 : { 2.35073, 0.52065 }
UVî‘çÜ7 : { 2.44805, 0.51644 }
UVî‘çÜ8 : { 2.34318, 0.45018 }
UVî‘çÜ9 : { 2.3916, 0.06429 }
UVî‘çÜ10 : { 2.37059, 0.15782 }
UVî‘çÜ11 : { 2.41137, 0.16089 }
UVî‘çÜ12 : { -1.59457, 0.1549 }
UVî‘çÜ13 : { -1.61638, 0.08658 }
UVî‘çÜ14 : { -1.64585, 0.15824 }
UVî‘çÜ15 : { 0.40051, 0.33831 }
UVî‘çÜ16 : { 0.40051, 0.29601 }
UVî‘çÜ17 : { 0.48796, 0.31852 }
UVî‘çÜ18 : { 0.48796, 0.31852 }
UVî‘çÜ19 : { 0.40051, 0.29601 }
UVî‘çÜ20 : { 0.48796, 0.27157 }
UVî‘çÜ21 : { 0.48796, 0.18649 }
UVî‘çÜ22 : { 0.48796, 0.22517 }
UVî‘çÜ23 : { 0.40051, 0.20274 }
UVî‘çÜ24 : { 0.48796, 0.27157 }
UVî‘çÜ25 : { 0.40051, 0.29601 }
UVî‘çÜ26 : { 0.40051, 0.24807 }
UVî‘çÜ27 : { 0.48796, 0.22517 }
UVî‘çÜ28 : { 0.48796, 0.27157 }
UVî‘çÜ29 : { 0.40051, 0.24807 }
UVî‘çÜ30 : { 0.40051, 0.20274 }
UVî‘çÜ31 : { 0.48796, 0.22517 }
UVî‘çÜ32 : { 0.40051, 0.24807 }
UVî‘çÜ33 : { 2.34237, 0.31415 }
UVî‘çÜ34 : { 2.42436, 0.24423 }
UVî‘çÜ35 : { 2.35242, 0.24521 }
UVî‘çÜ36 : { 0.40485, 0.17473 }
UVî‘çÜ37 : { 0.40485, 0.14197 }
UVî‘çÜ38 : { 0.29926, 0.14981 }
UVî‘çÜ39 : { 0.45369, 0.11841 }
UVî‘çÜ40 : { 0.45369, 0.13197 }
UVî‘çÜ41 : { 0.34679, 0.12289 }
UVî‘çÜ42 : { 0.40485, 0.14197 }
UVî‘çÜ43 : { 0.29926, 0.1272 }
UVî‘çÜ44 : { 0.29926, 0.14981 }
