
[MeshData]

ボーンの重み数 : 681

ボーンの重み頂点番号0 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号1 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号2 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号3 : { 0, 0.551935 } { 1, 0.441914 } { 2, 0.00615142 } { 0, 0 } 
ボーンの重み頂点番号4 : { 0, 0.827141 } { 1, 0.172859 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号5 : { 0, 0.551933 } { 1, 0.442622 } { 2, 0.00544521 } { 0, 0 } 
ボーンの重み頂点番号6 : { 0, 0.827141 } { 1, 0.172859 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号7 : { 0, 0.551935 } { 1, 0.441914 } { 2, 0.00615142 } { 0, 0 } 
ボーンの重み頂点番号8 : { 0, 0.851465 } { 1, 0.148535 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号9 : { 0, 0.851465 } { 1, 0.148535 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号10 : { 0, 0.551935 } { 1, 0.441914 } { 2, 0.00615142 } { 0, 0 } 
ボーンの重み頂点番号11 : { 0, 0.553775 } { 1, 0.438755 } { 2, 0.00747014 } { 0, 0 } 
ボーンの重み頂点番号12 : { 0, 0.553775 } { 1, 0.438755 } { 2, 0.00747014 } { 0, 0 } 
ボーンの重み頂点番号13 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号14 : { 0, 0.851465 } { 1, 0.148535 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号15 : { 0, 0.851465 } { 1, 0.148535 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号16 : { 0, 0.978506 } { 1, 0.0214943 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号17 : { 0, 0.827141 } { 1, 0.172859 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号18 : { 0, 0.978506 } { 1, 0.0214943 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号19 : { 0, 0.851465 } { 1, 0.148535 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号20 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号21 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号22 : { 0, 0.851465 } { 1, 0.148535 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号23 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号24 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号25 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号26 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号27 : { 0, 0.33 } { 1, 0.1139 } { 2, 0.5561 } { 0, 0 } 
ボーンの重み頂点番号28 : { 0, 0.33 } { 1, 0.1139 } { 2, 0.5561 } { 0, 0 } 
ボーンの重み頂点番号29 : { 0, 0.33 } { 1, 0.1139 } { 2, 0.5561 } { 0, 0 } 
ボーンの重み頂点番号30 : { 0, 0.33 } { 1, 0.1139 } { 2, 0.5561 } { 0, 0 } 
ボーンの重み頂点番号31 : { 0, 0.33 } { 1, 0.1139 } { 2, 0.5561 } { 0, 0 } 
ボーンの重み頂点番号32 : { 0, 0.33 } { 1, 0.1139 } { 2, 0.5561 } { 0, 0 } 
ボーンの重み頂点番号33 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号34 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号35 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号36 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号37 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号38 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号39 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号40 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号41 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号42 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号43 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号44 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
