
[MeshData]

ボーンの重み数 : 720

ボーンの重み頂点番号0 : { 0, 0.00645585 } { 1, 0.540985 } { 2, 0.45032 } { 3, 0.00223911 } 
ボーンの重み頂点番号1 : { 1, 0.710882 } { 2, 0.287933 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号2 : { 0, 0.00103439 } { 1, 0.690057 } { 2, 0.308619 } { 0, 0 } 
ボーンの重み頂点番号3 : { 1, 0.710882 } { 2, 0.287933 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号4 : { 0, 0.00645585 } { 1, 0.540985 } { 2, 0.45032 } { 3, 0.00223911 } 
ボーンの重み頂点番号5 : { 0, 0.00649061 } { 1, 0.548478 } { 2, 0.442882 } { 3, 0.00214918 } 
ボーンの重み頂点番号6 : { 0, 0.00502191 } { 1, 0.495803 } { 2, 0.495803 } { 3, 0.00337218 } 
ボーンの重み頂点番号7 : { 0, 0.00649061 } { 1, 0.548478 } { 2, 0.442882 } { 3, 0.00214918 } 
ボーンの重み頂点番号8 : { 0, 0.00645585 } { 1, 0.540985 } { 2, 0.45032 } { 3, 0.00223911 } 
ボーンの重み頂点番号9 : { 0, 0.00649061 } { 1, 0.548478 } { 2, 0.442882 } { 3, 0.00214918 } 
ボーンの重み頂点番号10 : { 0, 0.00502191 } { 1, 0.495803 } { 2, 0.495803 } { 3, 0.00337218 } 
ボーンの重み頂点番号11 : { 0, 0.00504094 } { 1, 0.495869 } { 2, 0.495869 } { 3, 0.00322086 } 
ボーンの重み頂点番号12 : { 1, 0.489159 } { 2, 0.504962 } { 3, 0.00440516 } { 0, 0 } 
ボーンの重み頂点番号13 : { 0, 0.00502191 } { 1, 0.495803 } { 2, 0.495803 } { 3, 0.00337218 } 
ボーンの重み頂点番号14 : { 1, 0.48716 } { 2, 0.506523 } { 3, 0.0047087 } { 8, 0.00111637 } 
ボーンの重み頂点番号15 : { 0, 0.00502191 } { 1, 0.495803 } { 2, 0.495803 } { 3, 0.00337218 } 
ボーンの重み頂点番号16 : { 1, 0.489159 } { 2, 0.504962 } { 3, 0.00440516 } { 0, 0 } 
ボーンの重み頂点番号17 : { 0, 0.00504094 } { 1, 0.495869 } { 2, 0.495869 } { 3, 0.00322086 } 
