
[MeshData]

ボーンの重み数 : 1224

ボーンの重み頂点番号0 : { 0, 0.488952 } { 3, 0.231967 } { 4, 0.279081 } { 0, 0 } 
ボーンの重み頂点番号1 : { 0, 0.090001 } { 3, 0.22 } { 4, 0.689999 } { 0, 0 } 
ボーンの重み頂点番号2 : { 0, 0.379049 } { 3, 0.226461 } { 4, 0.39449 } { 0, 0 } 
ボーンの重み頂点番号3 : { 0, 0.979778 } { 3, 0.0101585 } { 7, 0.0100635 } { 0, 0 } 
ボーンの重み頂点番号4 : { 0, 0.896403 } { 3, 0.0929268 } { 4, 0.0106703 } { 0, 0 } 
ボーンの重み頂点番号5 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号6 : { 0, 0.979778 } { 3, 0.0101585 } { 7, 0.0100635 } { 0, 0 } 
ボーンの重み頂点番号7 : { 0, 0.892273 } { 3, 0.0700702 } { 4, 0.0376561 } { 0, 0 } 
ボーンの重み頂点番号8 : { 0, 0.896403 } { 3, 0.0929268 } { 4, 0.0106703 } { 0, 0 } 
ボーンの重み頂点番号9 : { 0, 0.997313 } { 3, 0.00149277 } { 7, 0.00119422 } { 0, 0 } 
ボーンの重み頂点番号10 : { 0, 0.842737 } { 3, 0.0586882 } { 4, 0.098574 } { 0, 0 } 
ボーンの重み頂点番号11 : { 0, 0.925797 } { 3, 0.0412237 } { 7, 0.0329789 } { 0, 0 } 
ボーンの重み頂点番号12 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号13 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号14 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号15 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号16 : { 0, 0.979778 } { 3, 0.0101585 } { 7, 0.0100635 } { 0, 0 } 
ボーンの重み頂点番号17 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号18 : { 0, 0.956368 } { 3, 0.0248004 } { 7, 0.0188321 } { 0, 0 } 
ボーンの重み頂点番号19 : { 0, 0.892273 } { 3, 0.0700702 } { 4, 0.0376561 } { 0, 0 } 
ボーンの重み頂点番号20 : { 0, 0.979778 } { 3, 0.0101585 } { 7, 0.0100635 } { 0, 0 } 
ボーンの重み頂点番号21 : { 0, 0.956368 } { 3, 0.0248004 } { 7, 0.0188321 } { 0, 0 } 
ボーンの重み頂点番号22 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号23 : { 0, 0.925797 } { 3, 0.0412237 } { 7, 0.0329789 } { 0, 0 } 
ボーンの重み頂点番号24 : { 0, 0.908878 } { 3, 0.0521975 } { 4, 0.0389235 } { 0, 0 } 
ボーンの重み頂点番号25 : { 0, 0.925797 } { 3, 0.0412237 } { 7, 0.0329789 } { 0, 0 } 
ボーンの重み頂点番号26 : { 0, 0.842737 } { 3, 0.0586882 } { 4, 0.098574 } { 0, 0 } 
ボーンの重み頂点番号27 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号28 : { 0, 0.956368 } { 3, 0.0248004 } { 7, 0.0188321 } { 0, 0 } 
ボーンの重み頂点番号29 : { 0, 0.979778 } { 3, 0.0101585 } { 7, 0.0100635 } { 0, 0 } 
ボーンの重み頂点番号30 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号31 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号32 : { 0, 0.956368 } { 3, 0.0248004 } { 7, 0.0188321 } { 0, 0 } 
ボーンの重み頂点番号33 : { 0, 0.956368 } { 3, 0.0248004 } { 7, 0.0188321 } { 0, 0 } 
ボーンの重み頂点番号34 : { 0, 0.908878 } { 3, 0.0521975 } { 4, 0.0389235 } { 0, 0 } 
ボーンの重み頂点番号35 : { 0, 0.892273 } { 3, 0.0700702 } { 4, 0.0376561 } { 0, 0 } 
ボーンの重み頂点番号36 : { 0, 0.956368 } { 3, 0.0248004 } { 7, 0.0188321 } { 0, 0 } 
ボーンの重み頂点番号37 : { 0, 0.925797 } { 3, 0.0412237 } { 7, 0.0329789 } { 0, 0 } 
ボーンの重み頂点番号38 : { 0, 0.908878 } { 3, 0.0521975 } { 4, 0.0389235 } { 0, 0 } 
ボーンの重み頂点番号39 : { 0, 0.7055 } { 5, 0.076 } { 6, 0.2185 } { 0, 0 } 
ボーンの重み頂点番号40 : { 0, 0.84242 } { 5, 0.0787898 } { 6, 0.0787898 } { 0, 0 } 
ボーンの重み頂点番号41 : { 0, 0.832795 } { 3, 0.0067414 } { 5, 0.0802316 } { 6, 0.0802316 } 
ボーンの重み頂点番号42 : { 0, 0.905294 } { 3, 0.0563567 } { 4, 0.0383491 } { 0, 0 } 
ボーンの重み頂点番号43 : { 0, 0.920708 } { 5, 0.0396458 } { 6, 0.0396458 } { 0, 0 } 
ボーンの重み頂点番号44 : { 0, 0.998817 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号45 : { 0, 0.997313 } { 3, 0.00149277 } { 7, 0.00119422 } { 0, 0 } 
ボーンの重み頂点番号46 : { 0, 0.867909 } { 3, 0.132091 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号47 : { 0, 0.842737 } { 3, 0.0586882 } { 4, 0.098574 } { 0, 0 } 
ボーンの重み頂点番号48 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号49 : { 0, 0.997313 } { 3, 0.00149277 } { 7, 0.00119422 } { 0, 0 } 
ボーンの重み頂点番号50 : { 0, 0.925797 } { 3, 0.0412237 } { 7, 0.0329789 } { 0, 0 } 
ボーンの重み頂点番号51 : { 0, 0.999991 } { 0, 0 } { 0, 0 } { 0, 0 } 
